kaba,français
¡y¼ : Kul=ì…à :,leave [s.t.] : to
‡-tænd¸ :,leech
gÆl :,left side
tünä :,"lend, borrow : to"
kàkÕ,leopard
bänjï :,leprosy
töÑ :,lick : to
tò :,lie down : to
‡-nä»,lion l
sÏ : Kul=yûsôn :,"little, a"
‡-bàylà : Kul=kílï,lizard : type of
ngàrò,zard : type of
t‡,cative marker
ngäl : Kul=àwù :,ng : to be
sáñg,ok for : to
dün :,lower back; kidney
tá,make porridge : to
jìngàw,male
bÆ£,male initiation
lò-làb¸-né,market
gàkÕrà,mat : type of
ràkÕ :,mat : type of
mä :,me (independent form)
-»,me (obj. of prep.)
-«,me (obj. of verb)
îjù :,measure : to
yïl :,melt : to m
dàn : Kul=dànà :,middle m
kö : Kul=tŠ,millet
tþy,millet : type of
wàä,millet : type of
‡-kùlúlü,llipede
là£ :,"ss, to; to be missing"
tçwº,an : to
nàrè :,ney
ßÆt¸,nkey
nðy : Kul=näfŠ :,moon
ßÉy,"more, again"
kÕ-sƒ : Kul=jínjô,morning
bìrï :,mortar
yíl :,mosquito
kÇ : Kul=kóò :,mother
tílö,"mound, termite hill"
tà : Kul=tà :,mouth
ngÉs¸ :,move : to
ngªy :,"much, many, a lot"
bÆr : Kul=bî÷û :,mud
ßè :,mushroom
rï :,name
gö :,nape
ngîr-sƒ :,near
gôs¸ n,neck; throat
njè-mbôr-kÉy,neighbor
bùrà n,net
sìkì : Kul=÷yä :,w : to be
kàr :,xt to
‡-lækÉ-bélë,ghtjar
jï-kárä : Kul=dàhäbü,ne
‡-kïí,ise
ùm :,nose
àÑg,not
gòtó :,not be any : to
bàä :,nothing; empty; normal
ngàä :,now
kûr,number
bákºy :,numerous : to be
lÆ,of
ùbü,oil
yƒmº :,okra
ßúkä :,old person
ßúkä :,old person
dî : Kul=tà»-jî :,"on, in"
kárä,one o
n¼º o,one another
tèë : Kul=të :,open : to
ták¸ :,open : to be
à£,orphan
ßü :,trich
njè-mà® :,her; friend
räká,"t, outside"
kîÿ,l
njè,ner
ßæÉ :,ner
háy :,ddle
læl,paddle : to
màr :,palm tree : Borassus sp.
njälä :,pants
mbëtë,paper; book
ùm :,parent-in-law
wà,particle : interrogative
jë : Kul=gë :,particle : plural marker
kèrè :,partridge
kùkä :,pay : to
wúlübü : Kul=wúlï,peanuts
tôl :,peel : to
Æñ,penetrate : to
mîtÕ :,penis
dÆÛ : Kul=dèßë :,person
gòy :,pestle
ùkù :,pinch : to
‡-tùrú :,pipe : tobacco
tò :,pirogue
túrü,"ace of, traces of"
lò :,ace; time
kîyî :,acenta
ndäm :,ay : to
tûr,uck single feather : to
yä,porcupine
bíyä,porridge
jó,pot : clay
sùwä,pound to remove shell : to
ùngü :,pour : to
ùngü,pour : to
ndòö,poverty
màndÕ :,"pretty (girl, woman) : to be"
îkü :,"prevent, stop, refuse : to"
"gät¸, nàrè",price
tàr :,problem
ndô®,pull : to
wàs¸,pumpkin
mbùtù : Kul=mbùtì,punctured
ndökö :,"rchase, buy : to"
wï :,s
ùndä,"t, place : to"
màm :,thon
njàng,ickly
njï : Kul=yä :,rain
ßàr :,rainy season
yék¸ : Kul=k¨ßŠ,"rat, mouse"
yíngä :,Sara Languages
kàsè : Kul=àkè,red : to be
Æjï :,reflect : to
mbæt‡,refuse : to
nùjü : Kul=häfä,relatives
n¼y,"remain, stay : to"
îrü,remove : to
s¡y¼ :,residue r
tél : Kul=ndélè :,return : to
kîl,"ght side, right"
‡-nïngá :,"ng, bracelet"
sùkü,nse : to
sàng :,pe : to be
jàng :,val
bä : Kul=vä :,ver
÷ó : Kul=÷óv,"road, path"
kørº,rooster
kùlä,rope
ndùm :,rotten : to be
ngÆndÕrÆ :,"rough, hard, raw : to be"
ngûr,running
wÐrð :,"saliva, spit"
kàt¸,salt
kárä-bàä :,same
‡-náng‡rá,sand
nªy : Kul=tárò :,sauce
pà : Kul=ndälë :,say : to
tökú :,"say that, to"
ndäjí,scars
‡-níì :,scorpion
Õngæ,ratch : to
ùsù,rub : to
òö : Kul=ùwà :,e : to
kö :,ed of
làb¸ :,ll : to
tübä,"nd : away, to"
ùlà :,send : to
gäng,separate : to
kÉr :,sesame
sïrí :,seven
ùrü :,sew : to
njíl,shade; spirit
yék¸,shake : to
àtÕ,sharp : to be
îl :,sharpen : to
ngìsä :,shave : to
bàt¸ : Kul=bàtä,sheep
ngô :,shell
nÅ-gîl :,shin
sä :,shoes
gîjÕ s,short : to be
bäk¸ : Kul=bägü,shoulder
kï,"out, cry out : to"
ngö-kÇ,bling
rû-tö,ckness
bà-kàr : Kul=häjö,de
wár,sister-in-law
ìsì :,sit : to
m¡sª : Kul=tíkïrä,six
ndä©,"skin, hide"
dà-rä :,sky
ßÆ® :,slave
ßï :,sleep : to
rékéké :,slowly
ÆtÕ :,smell : to
sà :,smoke s
tü,smoke : to
kîjî :,snail
lï : Kul=yö :,snake
yöm :,soak : to
ngön :,"n, daughter"
pä :,ng
kùmä,rcerer
mîkôy,rghum
màs¸,ur tasting : to be
nìngà :,English –
‡-gämtàgär,spider
rïbä :,"split, tear : to"
gÆ® :,Sara Languages
mbôrë,squeeze liquid from : to
ßûn :,squirrel : type of
ndàm,squirrel : type of
sìngä,stake
kár¸ :,stalk :
àr,stand : to
‡-ndètérèndÏ,star
ßòkò,steal s
îsÕ :,"stick : into, to"
köró :,ir : to
wùr :,omach
Ær :,"one, pebble, mountain"
mbätä,ool
sú :,"story, tale"
ngÆ£,straw (for torch)
tôk¸,strength
‡-ndäjí,stripes
m¡¬ :,strong : to be
pál,structure for drying grain
ndó :,"study, learn, read : to"
jïk¸,stump
tÆndÕ :,stutter
ìl,suck : to
‡-sƒyº,sugar cane
kàr : Kul=hàjà :,sun
ùtä :,surpass : to
ùrù :,swallow : to s
tÆt¸ :,sweat; to sweat t
ùtà :,sweep : to
rí :,eet : to be
bängàw :,eet potato
mbî® :,eetsop
tí,ell up : to
àlè :,im : to
ßòng :,il
tàä :,ke : to
ùn,take : to
màs¸ :,tamarind tree
nº :,taste : to
nè£,taste good to (s.o.) : to
tï© : Kul=ndïlï :,tear : to
ngäng :,Sara Languages
dîkÕ,ten
ngìrà,tendons; gristle
yç,termite : type of
wº,termite : type of
gÆm :,testicles
nèÑ : Kul=rà,that t
kà®,"that, so that"
k‡,"that, which, who, whom"
k‡ :,"that, which, who, whom"
-dé t,them (acc. and obl.)
à t,"then, and then"
nøñ t,there (far off)
yó-bÆñ :,"there, over there"
d-,ey
ndè® :,ick : to be
bìñg :,igh
Æng¸,in : to be
kùndä :,irst
dî-mùtá : Kul=kóò,thirty
wÉl-nèÑ,this year
kün : Kul=hönö :,thorn
ngà® :,thorn bush
dùrù,thousand
mùtá,three
ìlä,throw : to
ùr,throw at : to
ndàng,thunder : to
m¡y¼,tick
dîû :,tie : to
gîl,"time, occurrence"
îr :,tired : to be
‡-ngìnºy,toad
máñg :,tobacco
ßök‡-nè : Kul=÷yáarà,today
n¼º-t‡,together
dî-bá® :,tomb
bàrá,morrow
ndÅ :,ngue
îrù :,uch : to
k¸ :,wards
»-mb¼rŸ,ap
käk¸,ee
mbûkô : Kul=ßölö,tree : African mahogany
yïrä,tree : Anogeissus sp.
kürä :,tree : cotton tree
mät¸,tree : Parkia africana
ßìtày,tree : type of
ìsà :,tremble : to
mbä : Kul=mbä :,"trip; guest, host"
mÐy :,"turtle, type of"
dî-jöó,twenty u
ndùngà :,twin u
÷ùkù :,"twisted, bent, to be"
jöó : Kul=jëé :,two
‡-njï• :,ulate : to
nän : Kul=nönö :,cle (maternal)
gÉl :,der; at bottom of
tútü,tie
tà©,til
èr¸ :,urine
-jé :,us (obj. of verb)
-jé : Kul=j¨™,us (oblique); our
njà-bè,"uselessly, for no reason"
ngïrï :,vagina
ßë :,village
gÅç,visit : to
ndü :,voice
tömö,vomit : to
mäl,vulture :
ngÉb¸ :,wait for : to
ndól :,wake up : to
njä :,walk : to
njìkì : Kul=dúrù,want : to
tókö : Kul=tôî,wash : to
gùmä w,wasp : mason w
màñ : Kul=mànï :,ter
j- :,terbuck : type of
îû,ar : to
"kîû,","ar, put on : to"
pétë :,ave : to
ùjü :,ave : to
gìndö,web (spider)
tïrö : Kul=tíyö,weed : type of
nç : Kul=nû,weep : to
büwá-màñ,well
÷í,what
tökó,when
÷á,where
ßá :,which
k‡-÷á,which?
ndà,white : to be
ndä©-ndà :,white person
nª :,who?
mbä-tà-÷í,"why, for what"
tát¸ :,wide : to be
tát¸ :,wide : to be
dèné :,wife
mùlà,wildcat
à,will (future marker)
yél :,nd
kÉ :,"nd up, wrap up : to"
bî® :,pe : to
kÕ :,th
sÆ-,th (with pronoun affixes)
-né :,th him/her/it
dèné,man
tàr,"words, speech"
kùlà,work
ndüsü :,worm-eaten : to be
türü :,wring out : to
tüjä,write : to
kúndü,xylophone
‡-ngúl :,yam
ló :,yawn : to
ßäl : Kul=ßälä :,year
tàk‡-nè : Kul=njô,yesterday
-sé y,you : (plural)
-í : Kul=y¨ :,you : (sing. oblique)
-ï : Kul=kï :,you (acc. sing.)
¸-,u (nom.)
-sé : Kul=sé :,u (oblique plural)
