nar,français
îy :,ther : to
kòl :,raffe
b¼y¼ :,rl being initiated
àd¸,ve
òjÕ :,ve birth to : to
ßù® :,ean : to
tƒyð :,English –
àÛ,go : to
ùdÕ,go down; enter : to
tèë :,go out : to
b¬yð :,goat
bàl :,"goat, billygoat"
màjÕ :,Sara Languages
kär,gourd
kál,gourd : type of
jènï,gourd used as spoon
j‡ngæ :,grain : crushed
mûy :,granary
kà,grandparent
ndòg¸,grass fencing
bèmbëé :,"grass, straw g"
gáj‡-sír,grasshopper
gá-kërë,grasshopper : type of
yèmbÕ :,greasy : to be
ndàä :,grill : to
dî-nàng :,ound
nàng :,"ound, earth"
wúl :,oundnuts
àlìyà :,ow on ground (plants) : to
tîgÕ :,"ow up, get big : to"
mbús¸ :,"ow, stuff into, step on :"
tènjÕ :,guinea fowl
ndîl,"gummy, slimy : to be"
bórö :,gums
kûs¸ :,hail
yìngà-dî :,hair
b¡¬ :,"hair, body hair"
jï,hand
kül :,handle (of tool)
bàsá,handsome : to be
rû-nè£ :,"happiness, joy"
ngàñg :,"hard, difficult : to be"
dîg¸m :,hare
kèndè :,harp
b¼º :,"hatred, rancor"
ànd¸ :,have sex with : to
µ- :,"he, she"
dî :,head
òö :,hear : to
kúj¸-mûs¸ :,heart
hïl :,hearthstone
îÿ :,heavy h
ndúr :,dgehog
gánd¸,el
ngöm :,rd : to
làä :,re
ngônj¸ :,rnia
yír :,biscus
ßû,de : to
ng¸ræ :,English –
ìyæ :,hide; set a trap : to
-µ :,"him, her"
yàbÕ :,hippopotamus
-µ :,"his, her"
ÕndÆ :,hit : to
kîsÕ :,hoe
ßë,Sara Languages
bòlò :,hole
yìb¸tèjÕ :,honey
mbà£,honeycomb
ndüb¸,honor : to
gàjÕ :,horn : animal
s‡ndæ,horse
t‡ngæ :,hot : to be
kªrª :,hot pepper h
kúj¸ :,house
kóndóng :,how much
b¼ý,how?
ßú,hundred
ßö :,hunger
tör :,rt : to
ngà :,sband
m-,ena
ké :,iot
bür :,iguana
ndájæ :,imitate : to
kàm,in
márí,in the past
sét¸ :,in vain
líg¸rï :,injury
kù® :,insect
tüt‡ :,inside
táj¸ :,insult : to
t¡¬ :,intestines
gìnd¸ :,"iron, metal"
ndÅç :,"itch, to; to be itchy"
n¡ :,jealousy between co-wives
bàl :,jump
nàj¸ :,justice k
k¬yð :,karite tree
tûl,ll : to
gàrà :,tchen
nÕngÆ :,te (type of bird)
kèsÕ :,ee
kìyæ :,ife
m¡yð :,ife : throwing
gè®,English –
górò :,kola nut
tà :,language; speech
ìi :,last a long time : to
kà•-ßëé :,last year
ògö :,laugh : to
yày :,Sara Languages
¡yÐ,leave [s.t.] : to
tënd¸ :,leech
gèl :,left side
t¸nð :,"lend, borrow : to"
kàgÕ :,leopard
bänj¸ :,leprosy
töÑ :,lick : to
tò :,lie down : to
bèé :,like so; only
ßîl :,lion l
ndä©-tà,lips
sÏ,"little, a"
ùr :,liver
kíl,lizard : type of
ngàrw¼y,zard : type of
t‡ :,cative marker
ngî :,"g, dead tree trunk"
sá,ng : to be
sä :,ok for : to
yûk‡,ose : to be
tár,ve : to
dün :,lower back; kidney
kèdè,maggot
tª :,make porridge : to
lòng :,make smooth : to
dÕngàm :,male
ndò :,male initiation
ßòlò,mane
lòbò,marabou stork
súk¸ :,Sara Languages
wàä :,mat : type of
mº :,me (independent form)
-» :,me (obj. of prep.)
-« :,me (obj. of verb)
îjÕ :,measure : to
mbûj‡,measure : to
dº m,meat
yŸþ,melt : to m
dàn m,middle m
mbà m,milk
kö :,millet
tþy :,millet : type of
körö-rûý,llipede
nà£ :,"ss, to; to be missing"
lôy,x mud : to
tÅç :,an : to
"gúsÕ,nàr",ney
ßèt¸ :,nkey
"bélë,nélé",mooch : to
nº,moon
ßáy :,"more, again"
kÕ-ndöý :,morning
bì® :,mortar
yíl :,mosquito
kÇ,mother
dïí,Sara Languages
tà,mouth
îtÕ,move : to
ngªy,"much, many, a lot"
bîr :,mud
ßòyò :,mushroom
rï :,name
gö :,nape
ngîr :,near
kô,neck; throat
líbÕr :,needle
màd¸-ßë,Kul=ní-dàrü
÷éng,net
ßáy :,ver
kìjÕ :,w : to be
kás¸,ws
kàdÕ :,xt to
ndöhó :,ne
kû© :,ise
kôn :,nose
àlé :,not
gòtóö :,not be any : to
kàrï,nothing; empty; normal
k‡-ndö-t‡ :,now
kûr :,number
bÕlÆ,numerous : to be
÷ûý,nut : karite tree
yä :,of
yìb¸ :,oil
gòm :,okra
ß‡gæ :,old person
tîgÕ :,old person
pápä,older brother
dî,"on, in"
kóg¸» :,one o
kónö-n¼º :,only o
tŸþ,open : to
tŸþ :,open : to be
àl,orphan
bùrùm,trich
màd¸,her; friend
ndá :,"t, outside"
kîÿ :,l
ngè :,ner
kúwæ :,ner
háy :,English –
nël :,paddle : to
dàa-jï,palm of hand
màr,palm tree : Borassus sp.
gáy :,palm tree : dum
njälä,pants
mbëtë,paper; book
ùm :,parent-in-law
à :,Sara Languages
-g¸,particle : plural marker
kèrwè :,partridge
Õgæ :,pay : to
wú-dùm,peanuts
tôl :,peel : to
ùdÕ :,penetrate : to
mîtÕ :,penis
dèë,person
gòy :,pestle
k¼º :,phlegm
ùgÕ :,pinch : to
tò :,pirogue
gümb¸rü :,t of fruit
gòtÕ :,"ace of, traces of"
lò :,ace; time
kîw,acenta
kóg¸ :,ay : to
róy,uck single feather : to
-ñ :,ural marker
kòñg,pole for picking fruit
k¼r¼,pond or small lake
mbínj¸ :,porcupine
bƒyð :,porridge
jó :,pot : clay
sùwæ :,Sara Languages
ßök‡ :,pour : to
òñg :,pour : to
ndòö :,poverty
k‡-ngîr-bädä,praying mantis
màndÕ :,"pretty (girl, woman) : to be"
îg¸ :,"prevent, stop, refuse : to"
gät¸ :,price
nàj¸ :,problem
kàyà,promiscuity p
îr p,pull : to
wàs¸ :,pumpkin
mbùtÕ,punctured
màng :,"rchase, buy : to"
ßï :,s
Õndæ,"t, place : to"
màm,thon
láy,ickly
"ndï, màñ :",rain
ngÆ-b¸ræ-ndï,rainbow
ßàr :,rainy season
ù£ :,"raise, nourish : to"
yég¸-tüb¸ :,rat : type of
yég¸ :,"rat, mouse"
yëÑg,Sara Languages
kèrë,red : to be
gír,reflect : to
mbät‡,refuse : to
ngè :,relatives
nÐy :,"remain, stay : to"
î® :,remove : to
yŸ,residue r
tél,return : to
bènë,rhinoceros
sú-k‡-tït¸-b¸rð,riddle r
n¸ngÉ :,"ng, bracelet"
sùk¸ :,nse : to
jàng :,val
bä,ver
÷ób¸ :,"road, path"
k‡ræ-k¸njÉ :,rooster
ngÕrÆ :,roots
kÕlæ :,rope
ndùm :,rotten : to be
ngî,"rough, hard, raw : to be"
ngûd¸,running
hûr :,"saliva, spit"
kàt¸ :,salt
bümbúrü :,sand
njár‡m-ngöý :,sand
pápä,sandals s
tïb¸,sap; glue
tª s,sauce
ÕdÆ,say : to
nÆ,"say that, to"
nd¸jÉ :,scars
hìnd¸ :,scatter : to
g‡næ :,scorpion
ùsÕ :,rub : to
ndèlè,"arch : carefully for, to"
¼º,e : to
kö :,ed of
ìgÕ :,ll : to
t¸bæ :,"nd : away, to"
ÕlÆ :,send : to
gäng :,separate : to
kór :,sesame
sïrí :,seven
ù® :,sew : to
ndíl :,shade; spirit
s‡kæ :,shake : to
àtÕ :,sharp : to be
îl :,sharpen : to
hûpû :,sheathe
bàt¸ :,sheep
ngô :,shell
dèr,shield s
käs¸ :,shin
ndélë :,shine : to s
sä :,shoes
gïnd¸ :,short : to be
bäg¸,shoulder
nç :,"out, cry out : to"
ngæ-kÇ,bling
ngòròng,ckle
mÅy :,ckness
kàdÕ :,de
sïyæ,sift (flour) : to
tŸmþ :,sifter
wár :,sister-in-law
ndì :,sit : to
mŸhÏ,six
ndä© :,"skin, hide"
kïnd‡,skunk
dÆ-rº :,sky
ßùlò,slave
ßï :,sleep : to
lòmmm :,slowly
düú,small : to be
òtÕ :,smell : to
sà :,smoke s
sü :,smoke : to
lï s,snake
nöm,soak : to
kàl,litariness
ngön :,"n, daughter"
pä :,ng
kÕmð,rcerer
gîjÕ :,rghum
màs¸ :,ur tasting : to be
nÕngÆ :,English –
k‡-ngär‡ngàng,spider
njàr,"split : be, to"
gäj¸ :,split : to
kþy :,"split, divide, share : to"
rïyæ,"split, tear : to"
gè® :,Sara Languages
"èrè, mbérë :",squeeze
mbérë,squeeze liquid from : to
ßûn :,squirrel : type of
ndàm :,squirrel : type of
t‡ndæ,stack : to
ngòng¸rö,stake
kád¸ :,stalk :
÷à :,stand : to
kúrmþ,star
ßògÕ :,steal s
künd‡,steam
kùjÕ :,sterile person
îsÕ :,"stick : into, to"
läá :,ick to : to
kèm :,omach
mbà£ :,"one, pebble, mountain"
kömbër,ool
dÕbÆ,op : to
sú,"story, tale"
súmü :,straight
ngè£ :,straw (for torch)
tôg¸ :,strength
ßál,stripes
ngàñg,strong : to be
dàbÕ :,structure for drying grain
ndó,"study, learn, read : to"
bëdë :,stump
tád¸ :,stutter
ìl :,suck : to
lëÑg :,suck : to
njíb¸ :,"suck, kiss : to"
kád¸ s,sugar cane
mbàng :,sun
"tîÿ,dù« :",surpass : to
ùr :,swallow : to s
tètë :,sweat; to sweat t
nè£ :,eet : to be
bængà :,eet potato
mbîr :,eetsop
sír :,ell up : to
àlìyà :,im : to
kÕlæ :,il
tàä :,English –
ùn :,take : to
màs¸ :,tamarind tree
gër,tapioca plant
nº :,taste : to
nè£ :,taste good to (s.o.) : to
tï•,tear : to
ngäng :,Sara Languages
kùtÕ :,ten
ngÕrÆ :,tendons; gristle
dîngÕrî,termite : soldier
yç :,termite : type of
wº :,termite : type of
ndàm :,testicles
"Ñ-ndò,Ñ-nò :",that t
"kàd¸, täm-kàd¸ t","that, so that"
k‡ :,"that, which, who, whom"
Ñ :,"that, which, who, whom"
-d‡ :,them (acc. and obl.)
ßáà,"then, and then"
nø :,there (far off)
nÅÇ,"there, over there"
ndè® :,ick : to be
möng,"ick, broad : to be"
búr :,igh
rën,in : to be
yª :,ing
kÕndæ :,irst
kùtÕ-mÕ,thirty
kûní-làä,this year
nÉ :,"this, that (emphatic)"
kûn,thorn
ngà® :,thorn bush
düb‡,thousand
mÕtÉ :,Sara Languages
Õnæ :,throw : to
m¡yÐ :,tick
kët‡,tickle : to
dÅç :,tie : to
njà,"time, occurrence"
îr :,tired : to be
ùr,to pound (grain)
k¼rº-bòtó,toad
máng :,tobacco
ßó-làä,today
n¼º,together
dÆ-ßád¸ :,tomb
bíní :,morrow
ndÅ,ngue
tür :,ss head : to
îdÕ :,uch : to
k¸,wards
güm :,ap
käg¸ :,ee
dïl :,tree : African mahogany
jûnd¸,tree : Balanites sp.
mònd,tree : Calotropis sp.
k¸ræ :,tree : cotton tree
góm,tree : Grewia venusta
mät¸ :,Sara Languages
ßÕtÆ :,tree : type of
ndèbè :,tremble : to
mbä,"trip; guest, host"
gàng :,tsetse fly
mŸ :,"turtle, type of"
bü•,"turtle, type of"
kùtÕ-jöó :,twenty u
ndÕngæ :,twin u
÷ùgÕ :,"twisted, bent, to be"
nél-mä• :,mä•
jöó u,two
ndíl :,ulate : to
nän,cle (maternal)
gír :,der; at bottom of
tút¸ :,tie
dîô :,til
ngéd‡-màñ,urine
-jí,us (obj. of verb)
"-jí, -jí :",us (oblique); our
ndäÑg,"uselessly, for no reason"
kÕgÆ :,venom; poison
ßë :,village
gÅç :,visit : to
ndü :,voice
tûmbû,vomit : to
mäl :,vulture :
ngórö :,wait for : to
ndól :,wake up : to
njïyæ,walk : to
gè :,want : to
tógö :,wash : to
gÕmbæ-gír-kèrë,wasp : mason w
gÕmbæ-ndùl,wasp : type of w
yþt¸,wasp : yellow w
màñ,ter
käl :,terbuck : type of
j-,terbuck : type of
Åç :,"ar, put on : to"
hét¸ :,ave : to
òjö :,ave : to
jîndû,web (spider)
törö,weed : type of
nç :,weep : to
bòlò-màñ :,well
nöm :,wet : to be
÷í :,what
lò-Ñ,when
÷‡ngªy-t‡,when
÷á :,where
µ,which
k‡-÷á,which?
ndà,white : to be
nàsá± :,white person
nª :,who?
"nàj¸-÷í,","why, for what"
là,wide : to be
là :,wide : to be
n¬yÜ :,wife
mÕlÆ-k‡-wàá :,wildcat
à,will (future marker)
nél :,nd
ßì® :,"nd up, wrap up : to"
ùsÕ :,pe : to
kÕ :,th
sÆ :,th (with pronoun affixes)
-nèé,th him/her/it
kànj¸ :,thout
d¡yÜ :,English –
nàj¸,"words, speech"
kÕlÆ :,work
ndüs¸ :,worm-eaten : to be
ßìnd¸,wrap around : to
dÅç :,"wrap, bind : to"
Õndæ,write : to
kúnd¸,xylophone
ngúl :,yam
ló :,yawn : to
ßäl,year
tàg‡-ßèë,yesterday
-sÕ :,you : (plural)
-í,you : (sing. oblique)
-ï,you (acc. sing.)
ï- :,u (nom.)
-sí,u (oblique plural)
