mango,français
àsÕ :,Sara Languages
ànd¸,enter
kÇnÇ,epilepsy
s¡ :,excrement
ndübæ,explode : to
kÆm :,eye
tús¸ :,fall : repeatedly f
ùs¸ :,fall : to
ùr :,fall to the ground : to
b¼y-lò f,fallow field
ìbÕ,fan : to
s¼y :,faraway
ndî®,"farm, plant : to"
bùrÆ-kîsÕ,"farmer, master"
bòý :,fat : to be f
bîb¸,ther
kî :,tigue
ßæ• :,ar; to fear
bÆ£ :,ather
gàlì,ncing
îdÕ,tch [water] : to
ndî®,eld
÷û,ght : to
ndÆÿ,filter : to
yàtè :,filter : type of
yŸ :,filth
÷ùsÕ,fill : to
ìngÆ :,find : to
ßàä,find on ground : to
ngön-j,finger
tìgæ,finished : to be
pÆr :,fire
‡-ndçy-dé,firefly
sï,firewood
"ßÉy-ßäá,kété :",first
ßäá,first
dÆ®,firstborn child f
känj¸ :,fish f
kÆm-ndÇy,fish : Lates niloticus
sìw,fish : type of f
wúd¸,fish : type of
dæ• :,fish : type of f
kò®,fish net : type of
mbîw :,fisherman
kùÿ :,shhook
mƒ :,ve
tÆ£ :,ash (lightning) : to
ndísæ,ea
¼ÿ :,ee : to
lö :,"oat, flow : to"
ndùj¸,our
pútü,flower : to
kÉm,fly
Æ,foam
múm,fog
ndòlè,follow
mù® :,food (main dish for Saras
njà :,"foot, leg"
"mbæl-dî,",for
nÅ :,forehead
ò,forge : to
gàjÕ,fork of tree
gàjÕ,forked : to be
sô :,four
mbæl,"fresh, wet : to be"
màd¸,friend g
màd¸,friend g
kànd¸,fruit
yæb‡ g,fruit : karite tree
ndän,full : to be
îy,ther : to
täg¸,net
kòl,raffe
b¼y¼,rl being initiated
àd¸ :,ve
òjÕ :,ve birth to : to
ßù,ean : to
tƒyð,English –
îÛ :,go : to
ùr :,go down; enter : to
tŸþ :,go out : to
b¬yð,goat
bàl :,"goat, billygoat"
Lúbæ,God; Luwa (brother of Su)
màjÕ,good : to be
‡-ngòó :,gourd
kü,gourd : type of
gà£ :,gourd : type of
kär-mbï :,gourd used as spoon
jíngæ,grain : crushed
dàm :,granary
kà :,grandparent
tèmè,grass : type of g
käy :,grass : type of
ndòg¸ :,grass fencing
wàlè,"grass, straw g"
gábrì :,grasshopper
‡-bétë :,grasshopper : type of
ngùr,greasy : to be
ndîÛ,grill : to
dî-nàng,ound
nàngá,"ound, earth"
bè-ßá,oundnuts
àlè :,ow on ground (plants) : to
tîgÕ,"ow up, get big : to"
ùbÆ :,"ow, stuff into, step on :"
tànjÕ,guinea fowl
yìd¸,gums
kûs¸,hail
bÆ£-dî,hair
bÆ£,"hair, body hair"
jï :,hand
kül,handle (of tool)
bàsá :,handsome : to be
ngàñg,"hard, difficult : to be"
dîg¸m,hare
kèndè,harp
b¼º :,"hatred, rancor"
ndÆÿ,have food prepared : to
ndà£,have sex with : to
µ-,"he, she"
dî :,head
ngÆæ :,head cloth
òö,hear : to
pïl :,hearthstone
îÿ,heavy h
ndú®,dgehog
ngæm,rd : to
nè :,re
ngónj‡,rnia
yí :,biscus
dÆbÕ :,de : to
ngïræ,English –
ïyæ :,hide; set a trap : to
-é :,"him, her"
àbÕ,hippopotamus
-é,"his, her"
ìndÆ,hit : to
kîsÕ,hoe
ßë :,Sara Languages
bòlè,hole
ùb¸-tòjÕ,honey
gàjÕ,horn : animal
síndæ :,horse
túngæ,hot : to be
käb¸,hot pepper h
kÉy,house
kándáng,how much
bàÑ :,how?
gìnÐ,hunch (on back)
ßú :,hundred
ßö :,hunger
ndÅ,nting; gods of hunting
tö :,rt : to
ngîw,sband
m- :,ena
sé,iot
bür,iguana
ndáj¸,imitate : to
mŸþ :,in
"löw, ndûk‡",in the past
pí,in vain
kìyæ-ngäng¸,incisor teeth
sülæ :,incite
mÆtÕ,injury
kùü,insect
tït‡,inside
mŸÏ :,inside out
táj¸,insult : to
t¡¬,intestines
ßä :,invite : to k
gìnd¸,"iron, metal"
ndÅç,"itch, to; to be itchy"
tà£ :,jackal
ì« k,jealous of
n¡ :,jealousy between co-wives
sçyç k,karite tree
tûl :,ll : to
kÉy-pàkÕ,tchen
nìngÆ,te (type of bird)
ßúgúlú-njà,ee
kìyæ,ife
m¡yð,ife : throwing
÷ò :,ot
gÆ® :,English –
jà£ :,kob : type of
gôrî,kola nut
tà :,language; speech
ì,last a long time : to
÷út¸ :,last born child
kä•-nè,last year
kòg¸,laugh : to
dàbÕ,Sara Languages
ndünæ :,lean : to
ùy :,lean (to pour)
¡yÐ :,leave [s.t.] : to
tÉnd‡,leech
gÆl :,left side
tünæ,"lend, borrow : to"
kàgÕ,leopard
bänj¸,leprosy
töÑ :,lick : to
tò :,lie down : to
bè,like so; only
ßîl :,lion l
sÏ :,"little, a"
ùr :,liver
báylà :,lizard : type of
ngàrÕm :,zard : type of
t‡,cative marker
ngî :,"g, dead tree trunk"
ngäl :,ng : to be
sáñg,ok for : to
dün :,lower back; kidney
kúpkùp,machete
kòdè,maggot
tª,make porridge : to
dìngÆm,male
ndò,male initiation
jùtÕ-màñ,marabou stork
súkÕ,Sara Languages
pál,mat : type of
tüwæ,mat : type of
mº :,me (independent form)
-» :,me (obj. of prep.)
-« :,me (obj. of verb)
îjÕ :,measure : to
mbôj¸ :,measure : to
dä :,meat
kùmæ :,medicine
lŸþ :,melt : to m
dàn :,middle m
mbà :,milk
kö,millet
tðy,millet : type of
wæ,millet : type of
jÆ :,"llet, wild"
nà£ :,"ss, to; to be missing"
mbçy :,x mud : to
t“mð,an : to
là :,ney
njº :,ngoose : type of
ßÆt¸,nkey
nºy :,moon
ßÉy,"more, again"
sƒ,morning
bì® :,mortar
yíl :,mosquito
kÇ :,mother
ndönönö :,mound : animal hole
dô-dïí :,Sara Languages
tà :,mouth
tó :,move : to
yº :,"much, many, a lot"
yíngæ,mud
ßòyò,mushroom
rï :,name
gö :,nape
mbô,near
mínd¸ :,neck; throat
líbrì,needle
njè-tà-kÉy :,Kul=ní-dàrü
büræ :,net
nd¼-à•,ver
sìgÕ,w : to be
kàdÕ,xt to
nìngÆ-bær,ghtjar
"jï-kárë,jï-n¼y-kárë",ne
"ndü,ká",ise
Æm :,nose
à• :,not
gòtó,not be any : to
kàrë :,nothing; empty; normal
ngàä,now
kûr,number
"òng¸,",numerous : to be
‡-÷ûý,nut : karite tree
sÉ :,odor : sickening
lÆ,of
ùb¸,oil
yímð,okra
ßúgæ,old person
pápá :,older brother
dî :,"on, in"
kárë,one o
n¼º,one another
ndíjæ,onion : wild
÷è,only o
tŸþ :,open : to
"tág¸, tŸþ",open : to be
tÉm :,oquid
àl :,orphan
ßü :,trich
ndát‡,"t, outside"
kîÿ,l
njè,ner
‡-ßä :,ner
háy :,English –
læl,paddle : to
màr :,palm tree : Borassus sp.
"tàn,gárïyä",palm tree : dum
mbëtë :,paper; book
mÆm :,parent-in-law
wà :,Sara Languages
jë :,particle : plural marker
sènè,partridge
ùgæ,pay : to
kàbï :,peanuts
tôy :,peel
tôl :,peel : to
Æñ,penetrate : to
mîtÕ,penis
pölë,perform rites
dòÛ :,person
ndòý :,person with same name
gòy :,pestle
ndîl :,phlegm
ùgÕ :,pinch : to
tòó,pipe : tobacco
tò :,pirogue
kº,t of fruit
tó,"ace of, traces of"
lò :,ace; time
kîy :,acenta
ndäm,ay : to
tôr :,uck single feather : to
-ï :,ural marker
yÆl :,poison : to
÷ìrÆ :,pole with three prongs
ïyæ,porcupine
bƒyð,porridge
sÆ :,"porridge, liquid of"
jó :,pot : clay
gùm,pot for beer
sÆbÕ,pound to remove shell : to
mbÉl,pour : to
ùng¸,pour : to
ndùsü,pour leaving residue : to
ndòö,poverty
‡-gæng,praying mantis
ìsÆ :,press : together
màndÕ,"pretty (girl, woman) : to be"
îg¸ :,"prevent, stop, refuse : to"
gät¸,price
tà,problem
kàyà,promiscuity p
ndô® :,pull : to
ßüngæ :,"pull up, tear up : to"
wàs¸,pumpkin
mbùtÕ :,punctured
ndög¸,"rchase, buy : to"
ßï :,s
ìndæ :,"t, place : to"
màm :,thon
kàlàng :,ickly
ndï,rain
ù£,"raise, nourish : to"
nì» :,rat : type of
bùngÕràng,rat : type of
yÉg¸,"rat, mouse"
bîr :,Sara Languages
kàsÕ :,red : to be
gí® :,reflect : to
mbät‡ :,refuse : to
nüj¸,relatives
n¼y,"remain, stay : to"
î® :,remove : to
tæg‡,remove with hands : to
yŸ :,residue r
ndÉg¸,"rest, remaining portion r"
tÉl :,return : to
käg¸,rheumatism
àsÕbànï :,rhinoceros
sú-kàd¸-n¼º-ßë,riddle r
kîl,"ght side, right"
‡-níngæ,"ng, bracelet"
sùk¸,nse : to
kàsÕ,pe : to be
jàng,val
bä :,ver
dä-màñ,ver monster
÷Éb¸,"road, path"
kúnð,rooster
ngìrÆ,roots
kùlæ,rope
ndùm,rotten : to be
ndÆm :,rub oil : to
rát¸,rub oil : to
ngûd¸ :,running
näg‡,rush : to
yörö :,"saliva, spit"
kàt¸,salt
yªñg¸rä,sand
yªñg¸rä,sand
pápá :,sandals s
nªy :,sauce
ìdÆ :,say : to
ngª¼-ngünð :,scabies
ndäj‡ s,scars
jínð,scorpion
ìngÉ,ratch : to
ùsù,rub : to
ndòlè :,arch : carefully for
òö :,e : to
kö-né :,ed of
ndög¸,ll : to
tübæ,"nd : away, to"
ùlÆ :,send : to
gän,separate : to
kÉ :,sesame
sïrí,seven
ùü :,sew : to
ndíl,shade; spirit
yék¸ :,shake : to
àtÕ,sharp : to be
îl :,sharpen : to
ndìsæ,shave : to
ngôy,ó sheath
ngÆæ,sheathe
bàt¸,sheep
kÉy-lò :,shelter : field
kæm-njà s,shin
ndçy,shine : to s
säbä :,shoes
tál,"shoot : out, to s"
gîjÕ,short : to be
bäg¸ :,shoulder
"‡-küý,","out, cry out : to"
ndòlë,rivel up : to
ngö-kÇ :,bling
ngîrîng :,ckle
mÅy,ckness
kàdÕ,de
sïyæ,sift (flour) : to
tèmë,sifter
wá,sister-in-law
ìsÕ :,sit : to
mŸhÏ :,six
ndäá,"skin, hide"
dî-rº,sky
ßÆæ :,slave
ßï :,sleep : to
mbàtÕ,"slight, thin : to be"
ján-ján,slowly
ÆtÕ :,smell : to
sà :,smoke s
sü,smoke : to
‡-làbàbà,snail
lï :,snake
ndùbÕ :,snake : type of
nàr,"snatch, struggle with: to"
át‡sæ s,sneeze
yïl :,soak : to
sík¸,sob s
ngön,"n, daughter"
pä :,ng
njè-yò :,rcerer
gîjÕ,rghum
màs¸,ur tasting : to be
ndûb¸ :,ark : to
gàgÕ,ear
nìngÆ,English –
gámà-gämä,spider
gºyº,split : to
tº,"split, divide, share : to"
tª :,"split, tear : to"
gÆæ :,Sara Languages
rïbæ,squash : type of
gæb‡ræ :,squash : type of
"mbórë,òrè :",squeeze liquid from : to
ßûn :,squirrel : type of
ndàm,squirrel : type of
ndú® :,stack : to
kád¸,stalk :
ngÐy :,stalk : to s
¼ s,stand : to
kÉrwþy :,star
ßògÕ,steal s
kùjÕ,sterile person
îsÕ :,"stick : into, to"
tƒyð :,ick to : to
kùlÆ,ir : to
kùtúrü :,ir : to
mŸþ :,omach
Æ :,one for fortune telling
Ær :,"one, pebble, mountain"
kálï :,ool
tà-sú :,"story, tale"
ndáj¸ :,straighten
ngÆ£,straw (for torch)
tôg¸,strength
sü :,string : to
ßál,stripes
ÆngÕ :,strong : to be
dàbÕ,structure for drying grain
ndó :,"study, learn, read : to"
jïg¸,stump
ìl,suck : to
nïÑg,suck : to
njíb¸,"suck, kiss : to"
kád¸ :,sugar cane
kàdÕ,sun
gæt¸,support : to
tîÿ,surpass : to
ù,swallow : to s
tÆt¸,sweat; to sweat t
ìtÆ :,sweep : to
línd¸,eet : to be
bûngîw,eet potato
mbî,eetsop
tí,ell up : to
àlè :,im : to
mòng,il
tàä :,English –
ùn,take : to
màs¸,tamarind tree
gÉ :,tapioca plant
nº :,taste : to
nÆ£ :,taste good to (s.o.) : to
tï• :,tear : to
ngäng,Sara Languages
dîgÕ,ten
ngìrÆ,tendons; gristle
dîngÕrî,termite : soldier
sûlûlû,termite : type of
wº,termite : type of
kûr-gÆm,testicles
k‡µ t,that t
kàd¸,"that, so that"
k‡,"that, which, who, whom"
k‡,"that, which, who, whom"
-dé :,them (acc. and obl.)
"hál, É :","then, and then"
nø,there (far off)
yó :,"there, over there"
d‡- :,ey
ndÆæ,ick : to be
bìñg,igh
Æng¸ :,in : to be
né,ing
kùndæ,irst
kîr-mùtÉ :,thirty
kö•-nè :,this year
lé,"this, that (emphatic)"
kün :,thorn
ng¼º,thorn bush
düb‡ :,thousand
mùtÉ,Sara Languages
ìlæ,throw : to
ùr,throw at : to
mìyÐ,tick
dîû :,tie : to
njà :,"time, occurrence"
î t,tired : to be
ùr :,to pound (grain)
ngÉbÆtrÆ :,toad
máñg t,tobacco
ßó-nè :,today
nà-t‡ :,together
dî-ßád¸,tomb
"bòrè,bèrè",morrow
ndÅ :,ngue
dù :,ol for carving
îdÕ :,uch : to
k¸ :,wards
güm,ap
käg¸,ee
dïl,tree : African mahogany
yïdæ :,tree : Anogeissus sp.
jäng :,tree : Balanites sp.
käg¸-kÆm-kÅ :,tree : Calotropis sp.
künð,tree : cotton tree
kòbÕ :,tree : Ficus platyphylla
mät¸,tree : Parkia africana
ngó,tree : type of
"dàd¸,ndèbÕ",tremble : to
mbä :,"trip; guest, host"
gÆng,tsetse fly
mÐy :,"turtle, type of"
kîr-jöó,twenty u
ndùngÆ,twin u
ndü,twisted : be
÷ùgÕ,"twisted, bent, to be"
yÉl-mä• u,mä•
jöó :,two
bàsÕräng :,ulcer : skin
‡-ndï•,ulate : to
nän :,cle (maternal)
gín :,der; at bottom of
tút¸,tie
"ngªmª,",til
kÉd‡-màñ,urine
-jí :,us (obj. of verb)
-jí,us (oblique); our
kàrë-bè :,"uselessly, for no reason"
mùdù,vagina
kìngæ,venom; poison
ßë :,village
yºª,vine : Cissus sp.
gÅç,visit : to
ndï :,voice
tömö :,vomit : to
mäl,vulture :
ngínæ,wait for : to
ndÉl,wake up : to
njïyæ :,walk : to
ndìgÕ w,want : to
tóg¸,wash : to
gùmð,wasp : mason w
mbÕ®-mb¡¬,wasp : type of w
màñ :,ter
käl :,terbuck : type of
j- :,terbuck : type of
ùlÆ,"ar, put on : to"
pótë,ave : to
òj¸ :,ave : to
jìndæ :,web (spider)
nç,weep : to
bòlè-màñ,well
ndùÿ,wet : to be
÷í,what
lò-k‡ :,when
÷á,where
ßá :,which
k‡-rá :,which?
ndÉy :,whip : leather
ndà :,white : to be
nàsá±,white person
nª :,who?
kÕ-dû-÷í :,"why, for what"
tát¸ :,wide : to be
tát¸ :,wide : to be
nþ w,wife
mùlÆ,wildcat
à :,will (future marker)
yÉl :,nd
ßír :,"nd up, wrap up : to"
bî® :,pe : to
kÕ :,th
sÆ-,th (with pronoun affixes)
-né :,th him/her/it
nà£,thout
dèné,English –
ßÉy-täá :,"words, speech"
kùlÆ,work
ndüs¸,worm-eaten : to be
söl,worried : to be
ßïnd¸ :,wrap around : to
mùlÆ,wrestling
ndàng,wring out : to
ndàng :,write : to
kúndü :,xylophone
ngúl,yam
ló :,yawn : to
ßäl :,year
tàg‡-nè :,yesterday
-sí,you : (plural)
-í :,you : (sing. oblique)
-ï :,you (acc. sing.)
ï- :,u (nom.)
-sí :,u (oblique plural)
